ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,update_flag
600371.SH,20180421,20180421,20180331,1,1,1,0.0557,0.0557,65919690.6,65919690.6,,,,,,,,,,,,,,,,,,,51597893.06,35638606.51,,,1320907.92,10801745.91,5845349.57,-2003079.24,-5637.61,,,,,,,,,,,14369723.11,42429.95,436332.71,,13975820.35,,13975820.35,12534316.42,1441503.93,,13975820.35,12534316.42,1441503.93,20695676.37,,,,,,,,,,,,,,,,,,,,,,0
600672.SH,20180425,20180425,20180331,1,1,1,0.0048,0.0048,31539333.55,31539333.55,,,,,,,,,,,,,,,,5535.41,,,30252976.4,21477640.45,,,202811.66,2035869.4,4259733.95,2307725.94,-30805.0,,,,,,,,,,,1943097.56,693593.3,421123.67,,2215567.19,3080.5,2212486.69,2179513.79,32972.9,,2212486.69,2179513.79,32972.9,,,,,,,,,,,,,,,,,,,,,,,0
600691.SH,20180427,20180427,20180331,1,1,1,0.0229,0.0229,5172677262.43,5172677262.43,,,,,,,,,,,,,,,,-605507.33,-605507.33,,5084828579.79,4586435191.0,,,32221551.27,77570247.96,175077431.07,213380997.14,143161.35,,,,,,,,,,,97816975.31,11769972.26,2365367.48,,107221580.09,36644315.43,70577264.66,40236127.25,30341137.41,-31452.62,70545812.04,40204674.63,30341137.41,311946641.13,,,,,,,,,,,,,,,,,,,,,,0
600756.SH,20180428,20180428,20180331,1,1,1,0.06,0.06,207113682.67,207113682.67,,,,,,,,,,,,,,,-194478.17,43772902.33,35027201.21,,232341525.27,86745491.71,,,950464.72,29245697.11,113472224.82,194018.5,1733628.41,,,,,,,,,,,20228240.29,0.11,4735.91,,20223504.49,210258.22,20013246.27,20081232.23,-67985.96,,20013246.27,20081232.23,-67985.96,-21442182.83,,,,,,,,,,,,,,,,,,,,,,0
600650.SH,20180428,20180428,20180331,1,1,1,0.139,,554656751.14,554656751.14,,,,,,,,,,,,,,,-15222.11,30439505.22,30276420.23,,512843310.72,441026527.64,,,3069729.13,45510571.92,25584381.19,-2347899.16,,,,,,,,,,,,98942925.9,1533679.44,2747.35,,100473857.99,11465258.72,89008599.27,76788409.19,12220190.08,-69312180.72,19696418.55,7509809.72,12186608.83,39784624.83,,,,,,,,,,,,,,,,,,,,,,0
600608.SH,20180428,20180428,20180331,1,1,1,-0.003,-0.003,192102179.34,192102179.34,,,,,,,,,,,,,,,,,,,193244966.58,190909284.16,,,124586.28,191877.54,1075408.65,970015.51,-26205.56,,,,,,,,,,,-1142787.24,,,,-1142787.24,,-1142787.24,-1098048.65,-44738.59,,-1142787.24,-1098048.65,-44738.59,-198977.29,,,,,,,,,,,,,,,,,,,,,,0
600814.SH,20180425,20180425,20180331,1,1,1,0.09,0.09,1583568738.62,1583568738.62,,,,,,,,,,,,,,,,11703559.57,-3189593.56,,1449821661.28,1227700494.87,,,17142613.48,112657420.27,95359687.09,-3304352.14,265797.71,,,,,,,,,,,145450636.91,61534.78,662382.63,,144849789.06,38518183.61,106331605.45,61980394.8,44351210.65,-3676725.0,102654880.45,58303669.8,44351210.65,130708522.91,,,,,,,,,,,,,,,,,,,,,,0
600666.SH,20180428,20180428,20180331,1,1,1,0.04,0.04,325617984.1,325617984.1,,,,,,,,,,,,,,,,-478553.81,,,296954588.05,249241982.82,,,3160285.76,2620905.97,22686921.35,19394114.11,-149621.96,,,,,,,,,,,58751147.03,0.68,3549.91,,58747597.8,5969704.39,52777893.41,52825410.13,-47516.72,,52777893.41,52825410.13,-47516.72,78506579.74,,,,,,,,,,,,,,,,,,,,,,0
600712.SH,20180426,20180426,20180331,1,1,1,-0.0002,-0.0002,580516746.02,580516746.02,,,,,,,,,,,,,,,,1684.14,1684.14,,579573957.14,490500887.22,,,4552831.27,29787572.84,50102152.7,4630513.11,,,,,,,,,,,,992765.91,191231.28,23776.9,,1160220.29,1283816.28,-123595.99,-123595.99,,,-123595.99,-123595.99,,5573301.99,,,,,,,,,,,,,,,,,,,,,,0
600774.SH,20180420,20180420,20180331,1,1,1,0.046,0.046,296654070.77,296654070.77,,,,,,,,,,,,,,,,504840.38,504840.38,,287579539.9,206645521.08,,,3770891.31,18691954.32,53011010.02,6073391.47,-613228.3,,,,,,,,,,,9576525.03,7321.98,34318.99,,9549528.02,3597183.6,5952344.42,8108285.13,-2155940.71,,5952344.42,8108285.13,-2155940.71,14534694.04,,,,,,,,,,,,,,,,,,,,,,0
600629.SH,20180428,20180428,20180331,1,1,1,0.1646,0.1646,1291947639.57,1291947639.57,,,,,,,,,,,,,,,,5851285.69,5851285.69,,1228254975.95,995547820.35,,,4834236.12,12975755.85,206215314.56,613299.49,8068549.58,,,,,,,,,,,70454758.62,29021443.43,1698641.35,,97777560.7,17809364.84,79968195.86,71138198.99,8829996.87,-13538266.81,66429929.05,57599932.18,8829996.87,73298048.58,,,,,,,,,,,,,,,,,,,,,,0
600734.SH,20180428,20180428,20180331,1,1,1,-0.0491,-0.0491,1132669560.64,1132669560.64,,,,,,,,,,,,,,,,746935.62,468214.85,,1174835162.03,1053098506.6,,,4801163.59,11195866.76,68376038.8,34948294.26,2415292.02,,,,,,,,,,,-35576320.65,63491.9,69986.68,,-35582815.43,-4999285.78,-30583529.65,-30583529.65,,-706605.67,-31290135.32,-31290135.32,,1040330.01,,,,,,,,,,,,,,,,,,,,,,0
600794.SH,20180424,20180424,20180331,1,1,1,0.0249,0.0249,331945443.29,331945443.29,,,,,,,,,,,,,,,27092154.51,-12890740.8,,,328890943.19,296672624.69,,,1708947.11,1112686.33,14977072.37,11510421.72,2909190.97,,,,,,,,,,,18271528.13,18895803.82,2340711.25,,34826620.7,2979949.11,31846671.59,30211529.15,1635142.44,11042261.08,42888932.67,41253790.23,1635142.44,18489727.11,,,,,,,,,,,,,,,,,,,,,,0
600634.SH,20180428,20180428,20180331,1,1,1,0.05,0.05,270755470.23,270755470.23,,,,,,,,,,,,,,,,10711.41,,,204616899.25,35423958.64,,,767310.78,9521869.51,64657809.24,75723812.46,18522138.62,,,,,,,,,,,66149282.39,203648.62,772.1,,66352158.91,6830792.26,59521366.65,29330807.2,30190559.45,3634915.81,63156282.46,31181230.35,31975052.11,160384522.06,,,,,,,,,,,,,,,,,,,,,,0
601100.SH,20180426,20180426,20180331,1,1,1,0.25,0.25,970434837.45,970434837.45,,,,,,,,,,,,,,,,7424502.04,,,804888939.31,640685963.08,,,10003548.85,23415996.81,74040084.93,48945444.8,7797900.84,,,,,,,,,,,179933187.09,1101991.06,187162.41,,180848015.74,23979742.31,156868273.43,156778123.45,90149.98,-259779.47,156608493.96,156518343.98,90149.98,229252537.8,,,,,,,,,,,,,,,,,,,,,,0
000006.SZ,20180427,20180427,20180331,1,1,1,0.212,0.212,485058860.26,485058860.26,,,,,,,,,,,,,,,,252938141.83,252938141.83,,439598883.17,373664915.06,,,8751392.0,6134467.07,25884502.92,23270697.64,1892908.48,,,,,,,,,,,298398118.92,315534.43,1600.0,,298712053.35,12243057.1,286468996.25,286207670.37,261325.88,,286468996.25,286207670.37,261325.88,70623583.21,,,,,,,,,,,,,,,,,,,,,,0
600987.SH,20180425,20180425,20180331,1,1,1,0.163,0.163,833446940.86,833446940.86,,,,,,,,,,,,,,,,6197022.21,,,697133374.85,608455321.74,,,8819173.47,16253930.09,60048231.91,1704779.45,1851938.19,,,,,,,,,,,146881896.61,174449.02,153088.08,,146903257.55,24272738.44,122630519.11,103442435.73,19188083.38,,122630519.11,103442435.73,19188083.38,143473556.18,,,,,,,,,,,,,,,,,,,,,,0
601668.SH,20180428,20180428,20180331,1,1,1,0.27,0.27,270160699000.0,270160699000.0,,,,,,,,,,,,,,,-3704000.0,727627000.0,711908000.0,,257131524000.0,246204771000.0,,,1989254000.0,792065000.0,6245239000.0,1604571000.0,295624000.0,,,,,,,,,,,13759499000.0,88693000.0,35311000.0,,13812881000.0,3298074000.0,10514807000.0,8144599000.0,2370208000.0,-386249000.0,10128558000.0,7324070000.0,2804488000.0,14939824000.0,,,,,,,,,,,,,,,,,,,,,,0
600879.SH,20180427,20180427,20180331,1,1,1,0.04,0.04,2676011456.95,2676011456.95,,,,,,,,,,,,,,,,-1355655.32,-1355655.32,,2547376816.06,2243196446.77,,,5823347.23,43721017.01,217350070.52,37481020.45,-195085.92,,,,,,,,,,,129354563.76,2433013.51,261313.78,,131526263.49,24171756.76,107354506.73,99845182.47,7509324.26,,107354506.73,99845182.47,7509324.26,167981472.11,,,,,,,,,,,,,,,,,,,,,,0
601857.SH,20180428,20180428,20180331,1,1,1,0.06,0.06,542654000000.0,542654000000.0,,,,,,,,,,,,,,,,2148000000.0,,,519743000000.0,430823000000.0,,,49665000000.0,15323000000.0,17858000000.0,6070000000.0,4000000.0,,,,,,,,,,,27226000000.0,443000000.0,3379000000.0,,24290000000.0,9081000000.0,15209000000.0,10150000000.0,5059000000.0,-4960000000.0,10249000000.0,6350000000.0,3899000000.0,31071000000.0,,,,,,,,,,,,,,,,,,,,,,0
601919.SH,20180428,20180428,20180331,1,1,1,0.02,0.02,21923366326.52,21923366326.52,,,,,,,,,,,,,,,,428575464.56,428575464.56,,21762148489.28,20193238606.3,,,37221555.29,9728764.11,1031267273.57,483785606.06,6906683.95,,,,,,,,,,,616443395.98,36855734.77,254640.57,,653044490.18,157360929.38,495683560.8,180872936.58,314810624.22,-849773847.08,-354090286.28,-494742121.58,140651835.3,676892847.17,,,,,,,,,,,,,,,,,,,,,,0
