month,m0,m0_yoy,m0_mom,m1,m1_yoy,m1_mom,m2,m2_yoy,m2_mom
201002,42865.7856,21.98,5.16996814,224286.9544,34.99,-2.30935544,636072.2646,25.52,1.67244553
201001,40758.58,-0.79,6.56680856,229588.98,38.96,3.67727638,625609.29,25.98,2.52116497
200912,38246.97441,11.77,5.23641265,221445.8057,32.35,4.21312392,610224.5231,27.68,2.62692193
200911,36343.85993,14.99,1.71741044,212493.2037,34.63,2.38379286,594604.7213,29.74,1.35711645
200910,35730.22531,14.09,-2.87502353,207545.7431,32.03,2.89408415,586643.2887,29.42,0.2114691
200909,36787.88568,15.96,6.92095263,201708.1398,29.51,0.65536308,585405.3373,29.31,1.50969301
200908,34406.61982,11.52,0.48867769,200394.8261,27.72,2.30005252,576698.9535,28.53,0.62747931
200907,34239.3,11.59,1.7785451,195889.27,26.37,1.42443116,573102.8517,28.42,0.73589954
200906,33640.98,11.46,0.24273291,193138.15,24.79,6.10494964,568916.2,28.46,3.7669277
200905,33559.52,11.24,-2.03678642,182025.58,18.69,2.13901317,548263.51,25.74,1.43988285
200904,34257.26737,11.26,1.51377405,178213.5683,17.48,0.94733561,540481.2137,25.95,1.85714395
200903,33746.42278,10.88,-3.97027918,176541.1313,17.04,6.25432142,530626.7118,25.51,4.72039883
200902,35141.64416,8.28,-14.46052607,166149.6012,10.87,0.56608881,506708.07,20.48,2.13102394
200901,41082.37115,12.02,20.05733415,165214.3413,6.68,-0.60330045,496135.3078,18.79,4.41291703
200812,34218.96,12.65,8.2626325,166217.13,9.06,5.31627647,475166.6,17.82,3.60233999
200811,31607.36,9.04,0.92445711,157826.63,6.8,0.40222181,458644.66,14.8,1.21627339
200810,31317.84,10.59,-1.28303086,157194.36,8.85,0.9280254,453133.32,15.02,0.05180187
200809,31724.88,9.28,2.83051587,155748.97,9.43,-0.72722964,452898.71,15.29,0.90276484
200808,30851.62,10.89,0.53582619,156889.92,11.48,1.22424036,448846.68,16.0,0.55661303
200807,30687.19,12.3,1.67610297,154992.44,13.96,0.11128396,446362.17,16.35,0.72689051
200806,30181.32,12.28,0.03984183,154820.15,14.19,0.96214575,443141.02,17.37,1.58621673
200805,30169.3,12.88,-2.01467313,153344.75,17.93,1.08760406,436221.6,18.07,1.60905177
200804,30789.61,10.7,1.1715545,151694.91,19.05,0.54845488,429313.72,16.94,1.47952322
200803,30433.07,11.12,-6.22841784,150867.47,17.97,0.45918214,423054.53,16.19,0.4789807
200802,32454.47,5.96,-11.50345689,150177.88,18.95,-3.03133692,421037.84,17.39,0.76383852
200801,36673.15,31.21,20.89656205,154872.59,20.54,1.54303226,417846.17,18.88,3.58076932
