ts_code,report_year,report_type,ann_date,f_ann_date,n_cashflow_act,cash_recp_sg_and_rs,n_incr_cash_cash_equ,n_cashflow_inv_act,cash_recp_disp_withdrw_invest,n_cash_flows_fnc_act,cash_recp_cap_contrib,created_at,updated_at
300242.SZ,2026,1,2026-04-24,2026-04-24,-27750603.67,215659288.41,-18122705.71,3797596.11,,5880066.30,186000.00,2026-08-30 21:25:48.142065+08:00,
300243.SZ,2026,1,2026-04-15,2026-04-15,16664943.43,463240962.94,-3354054.16,-11132220.48,,-7886658.75,,2026-08-30 21:25:48.142065+08:00,
300243.SZ,2026,2,2026-07-28,2026-07-28,6229472.83,880591292.98,-63391107.55,-11146361.67,,-56206007.01,,2026-08-30 21:25:51.293242+08:00,
300244.SZ,2026,1,2026-04-28,2026-04-28,-163732352.67,2182752058.92,-484702159.67,-115011979.80,,-203166948.39,500000.00,2026-08-30 21:25:48.174613+08:00,
300244.SZ,2026,2,2026-08-21,2026-08-21,259401835.98,5042654620.59,-738802902.17,-230948196.99,,-761697562.69,500000.00,2026-08-30 21:25:51.332691+08:00,
300245.SZ,2026,1,2026-04-28,2026-04-28,20160722.49,97234100.38,-253817901.43,-272652490.59,,-1019764.69,,2026-08-30 21:25:48.190823+08:00,
300246.SZ,2026,1,2026-04-25,2026-04-25,-8384920.10,268553706.32,-219631574.30,-141618034.22,,-64262120.66,,2026-08-30 21:25:48.158682+08:00,
300246.SZ,2026,2,2026-08-22,2026-08-22,67123778.63,575707727.00,-99071135.26,-62826870.27,,-93769932.79,,2026-08-30 21:25:51.332691+08:00,
300247.SZ,2026,1,2026-04-28,2026-04-28,35647229.39,281898156.98,74357255.42,43130642.27,,,,2026-08-30 21:25:48.174613+08:00,
300247.SZ,2026,2,2026-08-26,2026-08-26,17348933.01,451698793.80,55973114.71,54795183.86,,-7888421.39,,2026-08-30 21:25:51.360276+08:00,
300248.SZ,2026,1,2026-04-24,2026-04-24,-91626119.31,174483822.12,-183132848.77,-59945507.11,,-31561222.35,,2026-08-30 21:25:48.158682+08:00,
300248.SZ,2026,2,2026-08-25,2026-08-25,-99572405.84,353084538.34,-223668357.07,-44959402.50,,-79136548.73,,2026-08-30 21:25:51.332691+08:00,
300249.SZ,2026,1,2026-04-21,2026-04-21,-117781713.31,246340573.85,-69914561.22,3712415.00,,44154737.09,,2026-08-30 21:25:48.142065+08:00,
300249.SZ,2026,2,2026-08-24,2026-08-24,-159797950.16,598773037.96,189498320.94,2470648.24,,346825622.86,304970354.71,2026-08-30 21:25:51.332691+08:00,
300250.SZ,2026,1,2026-04-29,2026-04-29,-27450470.20,54369139.22,-18668541.75,8716592.94,,57137.61,0.00,2026-08-30 21:25:48.190823+08:00,
300250.SZ,2026,2,2026-08-21,2026-08-21,-20608016.37,125281815.81,-37554789.35,-15342025.19,,-1612512.35,,2026-08-30 21:25:51.332691+08:00,
300251.SZ,2026,1,2026-04-22,2026-04-22,-21526989.59,285532554.27,574264980.98,600572754.87,,-3022230.57,22000.00,2026-08-30 21:25:48.142065+08:00,
300251.SZ,2026,2,2026-08-26,2026-08-26,-133546314.81,429884471.14,333831192.65,916511551.28,,-444884377.22,22000.00,2026-08-30 21:25:51.377161+08:00,
300252.SZ,2026,1,2026-04-28,2026-04-28,7774862.79,638233102.80,20657080.55,-28659092.36,,45585004.23,1309822.50,2026-08-30 21:25:48.174613+08:00,
300252.SZ,2026,2,2026-08-26,2026-08-26,-109423906.72,1209558225.25,23037244.78,-83368564.20,,221614066.77,277652921.27,2026-08-30 21:25:51.360276+08:00,
300253.SZ,2026,1,2026-04-23,2026-04-23,-48696363.69,517922580.25,-122566463.47,-32125374.42,,-41744725.36,,2026-08-30 21:25:48.142065+08:00,
300253.SZ,2026,2,2026-08-26,2026-08-26,15090708.35,1089234578.99,-145380167.41,-70064529.34,,-90406346.42,,2026-08-30 21:25:51.360276+08:00,
300254.SZ,2026,1,2026-04-28,2026-04-28,21103427.93,212465637.45,-23709953.58,-153650311.11,,108836929.60,,2026-08-30 21:25:48.174613+08:00,
300254.SZ,2026,2,2026-08-25,2026-08-25,81074059.52,421004540.07,-64545462.29,-25389588.67,,-120229933.14,17520000.00,2026-08-30 21:25:51.360276+08:00,
300255.SZ,2026,1,2026-04-29,2026-04-29,20208151.62,226574610.71,55418811.77,-29424247.04,,65364531.39,,2026-08-30 21:25:48.190823+08:00,
300255.SZ,2026,2,2026-08-26,2026-08-26,20593895.30,448700538.11,46093852.12,-67538304.05,,94033535.61,,2026-08-30 21:25:51.360276+08:00,
300256.SZ,2026,1,2026-04-29,2026-04-29,12143238.47,319339332.48,3228394.51,-6474860.95,,-1258162.37,,2026-08-30 21:25:48.190823+08:00,
300256.SZ,2026,2,2026-08-25,2026-08-25,10820316.57,715910874.05,-84790792.24,-91381857.05,,-1579990.90,750000.00,2026-08-30 21:25:51.360276+08:00,
300257.SZ,2026,1,2026-04-28,2026-04-28,27933222.92,1056280768.80,16849058.09,8269932.62,,-19616697.39,,2026-08-30 21:25:48.174613+08:00,
300258.SZ,2026,1,2026-04-21,2026-04-21,5962431.34,417734829.31,245534727.73,-69442974.01,,329371645.01,,2026-08-30 21:25:48.142065+08:00,
300258.SZ,2026,2,2026-08-25,2026-08-25,-49901077.04,790752406.82,623404185.33,62359962.48,,642489882.29,0.00,2026-08-30 21:25:51.360276+08:00,
300259.SZ,2026,1,2026-04-23,2026-04-23,33260411.00,221998216.38,-242307108.50,-218276210.15,,-54806258.41,,2026-08-30 21:25:48.142065+08:00,
300260.SZ,2026,1,2026-04-28,2026-04-28,-20500542.23,805230022.56,14323065.01,-125155427.69,,163077509.30,1500000.00,2026-08-30 21:25:48.190823+08:00,
300263.SZ,2026,1,2026-04-23,2026-04-23,-229626108.38,799051322.47,-160353716.89,-20086573.59,,89696670.56,,2026-08-30 21:25:48.142065+08:00,
300264.SZ,2026,1,2026-04-25,2026-04-25,3960661.95,31659205.80,20060919.95,2390349.32,,13709908.68,,2026-08-30 21:25:48.158682+08:00,
300265.SZ,2026,1,2026-04-23,2026-04-23,-103734941.26,522630931.88,-108350979.17,-28137465.06,,23689927.04,,2026-08-30 21:25:48.142065+08:00,
300266.SZ,2026,1,2026-04-27,2026-04-27,-35006989.79,393657729.67,-26609881.63,6246102.06,,2288715.46,,2026-08-30 21:25:48.158682+08:00,
300266.SZ,2026,2,2026-08-25,2026-08-25,1406104.97,710222198.58,-27134190.34,30173687.83,,-58455224.39,,2026-08-30 21:25:51.332691+08:00,
300267.SZ,2026,1,2026-04-24,2026-04-24,-9918141.85,239409879.33,-2241611.22,-34458913.93,,42681443.31,750000.00,2026-08-30 21:25:48.142065+08:00,
300267.SZ,2026,2,2026-08-27,2026-08-27,-154049518.76,518203459.22,-151292037.69,-6776492.34,,9916798.72,750000.00,2026-08-30 21:25:51.377161+08:00,
300268.SZ,2026,1,2026-04-25,2026-04-25,-45156899.09,201859026.99,-19202110.11,-473174.05,,28044415.62,,2026-08-30 21:25:48.158682+08:00,
300268.SZ,2026,2,2026-08-24,2026-08-24,-217850052.83,388832770.56,-55334868.03,-1315354.69,,166018623.11,,2026-08-30 21:25:51.332691+08:00,
300269.SZ,2026,1,2026-04-28,2026-04-28,-8898822.79,114973498.51,-11264373.39,1659101.05,,-2465388.92,,2026-08-30 21:25:48.174613+08:00,
300269.SZ,2026,2,2026-08-25,2026-08-25,-19149413.56,204869066.99,-26299088.22,4819497.31,,-8605719.55,,2026-08-30 21:25:51.360276+08:00,
300270.SZ,2026,1,2026-04-22,2026-04-22,50913008.18,91168952.17,-11597446.29,-58268100.07,,-4218600.02,,2026-08-30 21:25:48.142065+08:00,
300270.SZ,2026,2,2026-08-24,2026-08-24,89862116.83,160971952.35,-50394.20,-75501926.07,,-14370323.36,,2026-08-30 21:25:51.332691+08:00,
300271.SZ,2026,1,2026-04-28,2026-04-28,-388166772.03,256757668.44,-690372112.42,-312595279.27,,10389938.88,,2026-08-30 21:25:48.174613+08:00,
300271.SZ,2026,2,2026-08-26,2026-08-26,-440087088.18,661662657.97,-569337261.88,-139163435.70,,9913262.00,490000.00,2026-08-30 21:25:51.360276+08:00,
300272.SZ,2026,1,2026-04-29,2026-04-29,31156459.11,439477992.56,-102018146.95,-8474941.37,,-111886930.55,0.00,2026-08-30 21:25:48.190823+08:00,
300274.SZ,2026,1,2026-04-28,2026-04-28,1208404186.03,18256392034.41,7575924593.63,6217115429.47,,368149814.23,174127829.00,2026-08-30 21:25:48.174613+08:00,
300275.SZ,2026,1,2026-04-25,2026-04-25,13634552.52,87271852.43,12430494.90,-1769884.00,,565826.38,,2026-08-30 21:25:48.158682+08:00,
300275.SZ,2026,2,2026-08-22,2026-08-22,51868470.02,200540636.50,6834768.40,-8202932.94,,-36830768.68,,2026-08-30 21:25:51.332691+08:00,
