ts_code,report_year,report_type,ann_date,f_ann_date,comp_type,total_revenue,revenue,total_cogs,oper_cost,sell_exp,admin_exp,fin_exp,operate_profit,total_profit,income_tax,n_income,n_income_attr_p,basic_eps,created_at,updated_at
000021.SZ,2018,1,2018-04-28,2018-04-28,1,4003078929.95,4003078929.95,3968598264.69,3814666236.57,9202727.29,123641499.68,3113672.91,111634580.08,115058329.53,23901319.66,91157009.87,85431303.95,0.0581,2026-04-19 18:11:46.972233+08:00,2026-05-05 19:44:05.137414+08:00
000021.SZ,2018,4,2019-04-20,2019-04-20,1,16061005965.27,16061005965.27,15910291660.96,15306036621.41,58869085.38,413528754.30,-169661748.66,699361910.89,698919523.14,133547534.13,565371989.01,530073217.29,0.3603,2026-04-19 18:11:53.493923+08:00,2026-05-05 19:44:05.137414+08:00
000021.SZ,2018,2,2018-08-18,2018-08-18,1,8264991735.06,8264991735.06,8194940185.09,7937731364.85,21693047.89,250332297.42,-42605266.63,230328592.11,230401444.77,51204688.47,179196756.30,171778212.80,0.1168,2026-04-19 18:11:49.011048+08:00,2026-05-05 19:44:05.137414+08:00
000023.SZ,2018,2,2018-08-27,2018-08-27,1,628604025.98,628604025.98,627107334.59,575174698.20,8648801.28,26827968.00,11337559.95,121197.34,-945943.90,2654532.00,-3600475.90,864476.36,0.0062,2026-04-19 18:11:49.011048+08:00,
000023.SZ,2018,4,2019-04-18,2019-04-18,1,1611326480.81,1611326480.81,1552440849.86,1401777539.66,18544990.63,87656379.66,22760683.80,60759604.10,60111793.88,24975419.45,35136374.43,26320484.31,0.1897,2026-04-19 18:11:53.493923+08:00,
000023.SZ,2018,1,2018-04-28,2018-04-28,1,260788651.09,260788651.09,267007146.53,242560680.61,4491023.32,13204793.20,4409632.46,-7767641.90,-8485700.79,590449.80,-9076150.59,-4863626.81,-0.0351,2026-04-19 18:11:46.972233+08:00,
000023.SZ,2018,3,2018-10-30,2018-10-30,1,995335260.40,995335260.40,977425274.85,900160195.39,12668990.91,40044376.88,17036698.26,16621096.71,15584793.39,7443068.17,8141725.22,10634822.68,0.0770,2026-04-19 18:11:51.244310+08:00,
000025.SZ,2018,3,2018-10-30,2018-10-30,1,290580852.31,290580852.31,276244343.48,225063206.15,13044897.24,28759511.53,4664936.72,39117755.34,39055453.54,3512202.79,35543250.75,35840454.89,0.1206,2026-04-19 18:11:51.244310+08:00,
000025.SZ,2018,1,2018-04-27,2018-04-27,1,92099937.58,92099937.58,88166967.66,73096147.54,4077650.70,8686799.27,899268.60,15560582.01,15515307.36,324626.80,15190680.56,16101533.51,0.0542,2026-04-19 18:11:46.972233+08:00,
000025.SZ,2018,2,2018-08-22,2018-08-22,1,197955081.73,197955081.73,187301486.57,153739952.11,8337907.27,19137092.41,2771872.61,28519617.41,28454323.49,1887473.77,26566849.72,26920279.86,0.0906,2026-04-19 18:11:49.011048+08:00,
