ts_code,report_year,report_type,ann_date,roe,roe_dt,roa,npta,grossprofit_margin,profit_dedt,op_yoy,ebt_yoy,netprofit_yoy,debt_to_assets,assets_to_eqt,current_ratio,quick_ratio,or_yoy,tr_yoy,basic_eps,dt_eps,bps,created_at,updated_at
600270.SH,2003,4,2004-03-29,17.7916,17.6892,27.2827,18.6702,46.9309,336825813.67,33.8317,35.0123,25.1016,21.6471,1.2763,3.5420,3.5352,32.4833,32.4833,,,3.7800,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600271.SH,2003,4,2004-03-16,37.8522,37.1513,27.3920,26.4887,41.6506,382536282.99,131.7543,141.1039,138.3224,23.4976,1.3071,4.0139,3.2894,103.7234,103.7234,,,10.5900,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600272.SH,2003,4,2004-04-28,3.6016,2.9305,3.3915,1.6447,11.1017,25038212.08,-34.2579,-33.8982,-39.4726,54.2253,2.1846,1.0130,0.8526,29.0681,29.0681,,,3.5770,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600273.SH,2003,4,2004-04-08,7.0286,6.8490,8.3941,5.3150,14.0976,26591867.18,-10.3162,-8.5198,-11.5271,18.6253,1.2289,3.3628,2.7672,107.0398,107.0398,,,2.8400,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600275.SH,2003,4,2004-04-23,0.1390,-2.8599,1.0278,0.0328,39.4551,-22477007.88,-114.0349,-81.0656,-97.1862,66.1804,2.9569,1.2130,0.2286,-86.6479,-86.6479,,,1.7596,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600276.SH,2003,4,2004-02-18,11.2607,10.1279,12.5978,6.9451,66.8498,85011851.78,26.7169,36.3643,19.7153,37.7296,1.6059,1.6976,1.4372,38.9308,38.9308,,,3.4760,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600277.SH,2003,4,2004-03-23,4.7444,2.7345,4.6920,2.6094,16.7530,20269893.35,-10.5871,-2.9253,-4.4808,50.4035,2.0163,1.0210,0.8054,72.1021,72.1021,,,4.8030,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600278.SH,2003,4,2004-03-18,5.3600,4.3318,4.3326,2.7853,11.3638,44030201.51,-3.6194,-8.6417,-18.8398,50.5262,2.0213,1.4022,1.3634,7.9624,7.9624,,,3.2857,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600279.SH,2003,4,2004-04-17,3.2077,1.6654,3.7507,2.7912,36.3217,12185463.13,10.8688,-11.9953,-12.2108,15.8378,1.1882,3.3051,3.2631,16.9592,16.9592,,,3.2610,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
600280.SH,2003,4,2004-02-18,7.5644,7.7126,5.5240,2.9655,16.5041,36133541.23,23.1504,19.7385,18.7842,63.7324,2.7573,0.4830,0.3328,52.7071,52.7071,,,3.9800,2026-05-07 00:32:43.137673+08:00,2026-05-07 00:32:43.137788+08:00
