code,name,track_index,track_index_code,fund_type,invest_strategy,list_date,management_fee,custody_fee,fund_company,scale,created_at,updated_at
589050,科创综指ETF兴业,科创板,,,,,,,,0.86,2026-05-04 19:51:39.326881+08:00,
589060,科创综指ETF东财,科创板,,,,,,,,1.42,2026-05-04 19:51:39.326881+08:00,
589070,科创芯片设计ETF天弘,芯片指数,,,,,,,,4.55,2026-05-04 19:51:39.326881+08:00,
589080,科创综指ETF汇添富,科创板,,,,,,,,2.52,2026-05-04 19:51:39.326881+08:00,
589090,科创AIETF鹏华,人工智能指数,,,,,,,,2.70,2026-05-04 19:51:39.326881+08:00,
589100,科创芯片ETF国泰,芯片指数,,,,,,,,5.93,2026-05-04 19:51:39.326881+08:00,
589110,科创人工智能ETF国泰,人工智能指数,,,,,,,,7.80,2026-05-04 19:51:39.326881+08:00,
589120,科创创新药ETF汇添富,科创板,,,,,,,,4.88,2026-05-04 19:51:39.326881+08:00,
589130,科创芯片ETF易方达,芯片指数,,,,,,,,25.69,2026-05-04 19:51:39.326881+08:00,
589150,科创50ETF平安,科创50,,,,,,,,0.80,2026-05-04 19:51:39.326881+08:00,
589160,科创芯片ETF广发,芯片指数,,,,,,,,3.29,2026-05-04 19:51:39.326881+08:00,
589170,科创芯片设计ETF鹏华,芯片指数,,,,,,,,1.99,2026-05-04 19:51:39.326881+08:00,
589180,科创新材料ETF汇添富,科创板,,,,,,,,0.19,2026-05-04 19:51:39.326881+08:00,
589190,科创芯片ETF华宝,芯片指数,,,,,,,,11.54,2026-05-04 19:51:39.326881+08:00,
589200,科创200ETF工银,科创板,,,,,,,,0.46,2026-05-04 19:51:39.326881+08:00,
589210,科创芯片设计ETF广发,芯片指数,,,,,,,,0.68,2026-05-04 19:51:39.326881+08:00,
589220,科创200ETF国泰,科创板,,,,,,,,6.25,2026-05-04 19:51:39.326881+08:00,
589230,科创人工智能ETF南方,人工智能指数,,,,,,,,4.96,2026-05-04 19:51:39.326881+08:00,
589250,科创芯片设计ETF浦银,芯片指数,,,,,,,,1.38,2026-05-04 19:51:39.326881+08:00,
589260,科创芯片设计ETF国泰,芯片指数,,,,,,,,0.71,2026-05-04 19:51:39.326881+08:00,
589270,科创100ETF前海开源,科创板,,,,,,,,1.05,2026-05-04 19:51:39.326881+08:00,
589300,科创综指ETF嘉实,科创板,,,,,,,,0.91,2026-05-04 19:51:39.326881+08:00,
589380,科创AIETF富国,人工智能指数,,,,,,,,2.05,2026-05-04 19:51:39.326881+08:00,
589500,科创综指ETF工银,科创板,,,,,,,,1.65,2026-05-04 19:51:39.326881+08:00,
589520,科创人工智能ETF华宝,人工智能指数,,,,,,,,7.18,2026-05-04 19:51:39.326881+08:00,
589550,科创价值ETF华夏,科创板,,,,,,,,0.37,2026-05-04 19:51:39.326881+08:00,
589560,科创人工智能ETF汇添富,人工智能指数,,,,,,,,4.45,2026-05-04 19:51:39.326881+08:00,
589580,科创综指ETF兴银,科创板,,,,,,,,0.16,2026-05-04 19:51:39.326881+08:00,
589600,科创综指ETF富国,科创板,,,,,,,,4.04,2026-05-04 19:51:39.326881+08:00,
589630,科创综指ETF国泰,科创板,,,,,,,,3.06,2026-05-04 19:51:39.326881+08:00,
589660,科创综指ETF南方,科创板,,,,,,,,4.78,2026-05-04 19:51:39.326881+08:00,
589680,科创综指ETF鹏华,科创板,,,,,,,,8.02,2026-05-04 19:51:39.326881+08:00,
589700,科创成长ETF南方,科创板,,,,,,,,0.29,2026-05-04 19:51:39.326881+08:00,
589720,科创创新药ETF国泰,科创板,,,,,,,,15.14,2026-05-04 19:51:39.326881+08:00,
589770,科创综指ETF招商,科创板,,,,,,,,2.96,2026-05-04 19:51:39.326881+08:00,
589780,科创200ETF富国,科创板,,,,,,,,0.89,2026-05-04 19:51:39.326881+08:00,
589800,科创综指ETF易方达,科创板,,,,,,,,16.08,2026-05-04 19:51:39.326881+08:00,
589820,科创200ETF建信,科创板,,,,,,,,2.32,2026-05-04 19:51:39.326881+08:00,
589850,科创50ETF东财,科创50,,,,,,,,5.43,2026-05-04 19:51:39.326881+08:00,
589860,科创综指ETF天弘,科创板,,,,,,,,2.89,2026-05-04 19:51:39.326881+08:00,
589880,科创综指ETF建信,科创板,,,,,,,,7.13,2026-05-04 19:51:39.326881+08:00,
589890,科创综指ETF景顺,科创板,,,,,,,,1.55,2026-05-04 19:51:39.326881+08:00,
589900,科创综指ETF博时,科创板,,,,,,,,3.26,2026-05-04 19:51:39.326881+08:00,
589950,科创100ETF富国,科创板,,,,,,,,4.60,2026-05-04 19:51:39.326881+08:00,
589960,科创新能源ETF易方达,新能源指数,,,,,,,,1.82,2026-05-04 19:51:39.326881+08:00,
589980,科创100ETF汇添富,科创板,,,,,,,,2.52,2026-05-04 19:51:39.326881+08:00,
589990,科创综指ETF华泰柏瑞,科创板,,,,,,,,2.09,2026-05-04 19:51:39.326881+08:00,
