code,trade_date,open,high,low,close,pre_close,vol,amount
510180,2006-08-17,0.1510,0.1630,0.1510,0.1530,,3753.00,1097152.00
159901,2006-08-17,0.4880,0.4880,0.4800,0.4830,,30799.00,3868456.62
510180,2006-08-18,0.1530,0.1530,0.1510,0.1520,,1132.00,330877.00
159901,2006-08-18,0.4830,0.4880,0.4810,0.4820,,25254.00,3177571.63
510050,2006-08-18,0.2650,0.2780,0.2630,0.2690,,732245.00,76341513.00
510050,2006-08-21,0.2470,0.2700,0.2320,0.2700,,131073.00,13471588.00
159901,2006-08-21,0.4700,0.4810,0.4590,0.4810,,52928.00,6531042.40
510180,2006-08-21,0.1350,0.1480,0.1230,0.1480,,2109.00,608841.00
510180,2006-08-22,0.1510,0.1560,0.1490,0.1560,,1840.00,538591.00
159901,2006-08-22,0.4830,0.4930,0.4810,0.4900,,51607.00,6535198.55
510050,2006-08-22,0.2670,0.2830,0.2670,0.2790,,662819.00,69684554.00
510050,2006-08-23,0.2810,0.2880,0.2770,0.2820,,172973.00,18282572.00
510180,2006-08-23,0.1560,0.1720,0.1560,0.1630,,3598.00,1063201.00
159901,2006-08-23,0.4900,0.4970,0.4880,0.4900,,25412.00,3239506.49
510180,2006-08-24,0.1510,0.1710,0.1470,0.1710,,2313.00,681938.00
159901,2006-08-24,0.4900,0.4930,0.4870,0.4920,,24681.00,3135628.07
510050,2006-08-24,0.2770,0.2890,0.2720,0.2870,,371944.00,39165105.00
510050,2006-08-25,0.2880,0.2950,0.2870,0.2910,,621478.00,66069401.00
159901,2006-08-25,0.4910,0.4990,0.4910,0.4950,,35671.00,4575626.52
510180,2006-08-25,0.1670,0.1830,0.1670,0.1720,,5434.00,1624089.00
159901,2006-08-28,0.4970,0.5150,0.4960,0.5130,,38160.00,4986544.34
510180,2006-08-28,0.1670,0.2230,0.1670,0.2070,,21114.00,6406403.00
510050,2006-08-28,0.2950,0.3140,0.2900,0.3120,,789034.00,85132588.00
510050,2006-08-29,0.3110,0.3180,0.3070,0.3080,,1083142.00,117657957.00
159901,2006-08-29,0.5140,0.5300,0.5140,0.5180,,80484.00,10741838.30
510180,2006-08-29,0.2170,0.2180,0.2030,0.2110,,7884.00,2420965.00
159901,2006-08-30,0.5150,0.5220,0.5110,0.5200,,60969.00,8055032.72
510180,2006-08-30,0.1770,0.2070,0.1770,0.2070,,2227.00,676619.00
510050,2006-08-30,0.3040,0.3080,0.3010,0.3050,,723495.00,77938383.00
510050,2006-08-31,0.3050,0.3100,0.3020,0.3040,,525512.00,56645863.00
159901,2006-08-31,0.5210,0.5280,0.5190,0.5250,,143521.00,19162968.05
510180,2006-08-31,0.1970,0.2050,0.1970,0.2050,,445.00,135691.00
510180,2006-09-01,0.1880,0.2190,0.1750,0.1960,,5131.00,1550106.00
159901,2006-09-01,0.5250,0.5260,0.5100,0.5150,,55566.00,7340966.41
510050,2006-09-01,0.3050,0.3060,0.2900,0.2910,,712182.00,76079409.00
510050,2006-09-04,0.2910,0.3040,0.2910,0.3030,,526068.00,56421702.00
510180,2006-09-04,0.1830,0.2030,0.1830,0.1990,,2540.00,769410.00
159901,2006-09-04,0.5150,0.5250,0.5140,0.5240,,41298.00,5497268.35
510180,2006-09-05,0.1990,0.2190,0.1990,0.2040,,2547.00,783724.00
159901,2006-09-05,0.5260,0.5270,0.5200,0.5210,,35170.00,4692926.86
510050,2006-09-05,0.3030,0.3160,0.3010,0.3080,,637403.00,68911356.00
159902,2006-09-05,0.8800,0.8810,0.8690,0.8720,,806320.00,80159278.60
159902,2006-09-06,0.8730,0.8730,0.8640,0.8670,,463357.00,45758690.57
510180,2006-09-06,0.1990,0.2110,0.1990,0.2110,,913.00,279105.00
159901,2006-09-06,0.5220,0.5230,0.5170,0.5220,,36456.00,4852601.11
510050,2006-09-06,0.3090,0.3180,0.3070,0.3170,,626790.00,68060075.00
510050,2006-09-07,0.3190,0.3190,0.3010,0.3050,,519398.00,56149416.00
159902,2006-09-07,0.8670,0.8680,0.8600,0.8620,,289932.00,28505841.05
510180,2006-09-07,0.2110,0.2120,0.1990,0.2100,,2871.00,876286.00
159901,2006-09-07,0.5220,0.5230,0.5130,0.5130,,21997.00,2911146.51
159901,2006-09-08,0.5120,0.5190,0.5120,0.5130,,17790.00,2346992.26
510180,2006-09-08,0.2100,0.2100,0.1860,0.1980,,243.00,73587.00
510050,2006-09-08,0.3030,0.3120,0.3000,0.3080,,191020.00,20634914.00
159902,2006-09-08,0.8600,0.8690,0.8590,0.8660,,284018.00,27939810.86
159902,2006-09-11,0.8650,0.8680,0.8580,0.8660,,169371.00,16655647.00
159901,2006-09-11,0.5110,0.5160,0.5070,0.5150,,21729.00,2853874.56
510180,2006-09-11,0.2000,0.2100,0.1970,0.2010,,1259.00,384722.00
510050,2006-09-11,0.3090,0.3150,0.3050,0.3140,,323407.00,35041031.00
510050,2006-09-12,0.3140,0.3300,0.3140,0.3280,,1102860.00,120895302.00
159902,2006-09-12,0.8660,0.8730,0.8650,0.8710,,208582.00,20641728.50
510180,2006-09-12,0.2110,0.2230,0.2080,0.2230,,19675.00,6081709.00
159901,2006-09-12,0.5150,0.5230,0.5150,0.5230,,121158.00,16109052.27
510180,2006-09-13,0.2250,0.2350,0.2160,0.2160,,13240.00,4121876.00
159901,2006-09-13,0.5240,0.5250,0.5190,0.5200,,76917.00,10251378.74
510050,2006-09-13,0.3270,0.3440,0.3250,0.3310,,1573994.00,174575444.00
159902,2006-09-13,0.8710,0.8750,0.8670,0.8670,,169228.00,16785250.94
159902,2006-09-14,0.8660,0.8660,0.8560,0.8590,,135405.00,13253209.23
510180,2006-09-14,0.2120,0.2230,0.2000,0.2170,,3209.00,989142.00
159901,2006-09-14,0.5150,0.5180,0.5070,0.5100,,75914.00,9948857.00
510050,2006-09-14,0.3250,0.3420,0.3210,0.3290,,576644.00,63477336.00
510050,2006-09-15,0.3300,0.3610,0.3300,0.3570,,607613.00,68334030.00
159902,2006-09-15,0.8590,0.8680,0.8590,0.8670,,268055.00,26393371.54
159901,2006-09-15,0.5140,0.5250,0.5100,0.5250,,87571.00,11649422.63
510180,2006-09-15,0.2200,0.2430,0.2190,0.2310,,6194.00,1940979.00
510180,2006-09-18,0.2320,0.2550,0.2320,0.2550,,5215.00,1656264.00
159901,2006-09-18,0.5260,0.5390,0.5240,0.5390,,88423.00,11961517.45
510050,2006-09-18,0.3590,0.3770,0.3590,0.3750,,488458.00,55553182.00
159902,2006-09-18,0.8680,0.8750,0.8670,0.8740,,335521.00,33266634.01
159902,2006-09-19,0.8720,0.8790,0.8720,0.8770,,347849.00,34676572.00
510180,2006-09-19,0.2510,0.2650,0.2240,0.2590,,18010.00,5752212.00
159901,2006-09-19,0.5330,0.5400,0.5310,0.5330,,29323.00,3986169.42
510050,2006-09-19,0.3670,0.3740,0.3590,0.3600,,640697.00,72854886.00
510050,2006-09-20,0.3600,0.3640,0.3510,0.3560,,499869.00,56469807.00
159902,2006-09-20,0.8760,0.8820,0.8730,0.8780,,345645.00,34511749.48
510180,2006-09-20,0.2590,0.2590,0.2460,0.2570,,2451.00,778912.00
159901,2006-09-20,0.5320,0.5380,0.5250,0.5340,,113596.00,15394475.50
510180,2006-09-21,0.2250,0.2750,0.2250,0.2670,,14207.00,4536609.00
159901,2006-09-21,0.5310,0.5410,0.5310,0.5370,,146773.00,20055255.01
510050,2006-09-21,0.3560,0.3730,0.3560,0.3710,,843187.00,96185404.00
159902,2006-09-21,0.8780,0.8900,0.8770,0.8880,,568113.00,57111988.08
159902,2006-09-22,0.8880,0.8980,0.8870,0.8940,,547648.00,55448565.88
159901,2006-09-22,0.5380,0.5420,0.5320,0.5320,,62972.00,8588434.79
510180,2006-09-22,0.2670,0.2710,0.2550,0.2600,,2881.00,925051.00
510050,2006-09-22,0.3710,0.3800,0.3570,0.3590,,465706.00,53178110.00
510050,2006-09-25,0.3590,0.3640,0.3480,0.3540,,230874.00,26018302.00
159902,2006-09-25,0.8910,0.9040,0.8890,0.8930,,361716.00,36759873.03
159901,2006-09-25,0.5310,0.5420,0.5300,0.5360,,79983.00,10920825.31
510180,2006-09-25,0.2630,0.2630,0.2490,0.2530,,3534.00,1128711.00
159901,2006-09-26,0.5310,0.5360,0.5260,0.5270,,39134.00,5278014.93
510180,2006-09-26,0.2630,0.2630,0.2320,0.2440,,822.00,260353.00
510050,2006-09-26,0.3570,0.3570,0.3370,0.3410,,166925.00,18672412.00
159902,2006-09-26,0.8970,0.8970,0.8820,0.8820,,155541.00,15689789.56
159902,2006-09-27,0.8820,0.8850,0.8770,0.8800,,105986.00,10594674.60
510180,2006-09-27,0.2270,0.2620,0.2270,0.2510,,955.00,302137.00
159901,2006-09-27,0.5260,0.5330,0.5260,0.5330,,58886.00,7944585.76
510050,2006-09-27,0.3360,0.3520,0.3360,0.3520,,148995.00,16631242.00
510050,2006-09-28,0.3520,0.3710,0.3470,0.3690,,293414.00,33336455.00
159902,2006-09-28,0.8810,0.8960,0.8810,0.8920,,236427.00,23896958.38
510180,2006-09-28,0.2630,0.2650,0.2440,0.2630,,10689.00,3418711.00
159901,2006-09-28,0.5330,0.5430,0.5330,0.5410,,118725.00,16264360.26
159901,2006-09-29,0.5410,0.5500,0.5410,0.5490,,207693.00,28766635.05
510180,2006-09-29,0.2690,0.2830,0.2690,0.2790,,27364.00,8844765.00
159902,2006-09-29,0.8920,0.9040,0.8920,0.9010,,667900.00,68150596.46
510050,2006-09-29,0.3690,0.3850,0.3690,0.3830,,790524.00,91245620.00
