ts_code,name,fullname,enname,list_date,delist_date,market,curr_type,list_status,created_at,updated_at
02608.HK,阳光100中国,阳光100中国控股有限公司,Sunshine 100 China Holdings Ltd,2014-03-13,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02609.HK,佰泽医疗,佰泽医疗集团,Bayzed Health Group Inc,2025-06-23,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02610.HK,南山铝业国际,南山铝业国际控股有限公司,Nanshan Aluminium International Holdings Limited,2025-03-25,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02611.HK,国泰海通,国泰海通证券股份有限公司,"Guotai Haitong Securities Co., Ltd.",2017-04-11,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02613.HK,汇舸环保,上海汇舸环保科技集团股份有限公司,"Contiocean Environment Tech Group Co., Ltd.",2025-01-09,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02616.HK,基石药业-B,基石药业,CStone Pharmaceuticals,2019-02-26,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02617.HK,药捷安康-B,药捷安康(南京)科技股份有限公司,"TransThera Sciences (Nanjing), Inc.",2025-06-23,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02618.HK,京东物流,京东物流股份有限公司,"JD Logistics, Inc.",2021-05-28,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02619.HK,香江电器,湖北香江电器集团股份有限公司,"X.J. Electrics (Hu Bei) Group Co., Ltd",2025-06-25,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02621.HK,手回集团,手回集团有限公司,Shouhui Group Limited,2025-05-30,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02623.HK,爱德新能源,爱德新能源投资控股集团有限公司,Add New Energy Investment Holdings Group Limited,2012-04-27,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02625.HK,江苏宏信,江苏宏信超市连锁股份有限公司,Jiangsu Horizon Chain Supermarket Company Limited,2025-03-31,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
02627.HK,中慧生物-B,江苏中慧元通生物科技股份有限公司,"Ab&B Bio-Tech CO., LTD. JS",2025-08-11,,主板,HKD,L,2026-05-20 17:44:45.609022,2026-05-20 17:44:45.609022
