trade_date,open,high,low,close,pre_close,pct_chg,vol
2013-12-31,10792.24,10868.32,10782.0,10816.14,10770.69,0.422,662022247.0
2014-01-02,10856.38,10881.61,10626.96,10709.34,10816.14,-0.9874,1081289197.0
2014-01-03,10539.82,10548.67,10388.91,10436.76,10709.34,-2.5453,2036900048.0
2014-01-06,10377.73,10388.36,10232.37,10290.55,10436.76,-1.4009,1702496391.0
2014-01-07,10245.84,10282.8,10200.99,10236.12,10290.55,-0.5289,1668380693.0
2014-01-08,10237.23,10365.97,10199.1,10329.82,10236.12,0.9154,2047374835.0
2014-01-09,10263.23,10366.86,10127.74,10152.82,10329.82,-1.7135,1713747865.0
2014-01-10,10099.7,10201.61,10092.53,10164.68,10152.82,0.1168,1438889958.0
2014-01-13,10277.68,10286.46,10132.15,10182.46,10164.68,0.1749,1814238988.0
2014-01-14,10035.09,10207.48,10035.09,10149.22,10182.46,-0.3264,1377930237.0
2014-01-15,10267.72,10290.92,10169.6,10201.79,10149.22,0.518,1252663908.0
2014-01-16,10241.52,10241.52,10127.46,10187.52,10201.79,-0.1399,1792184640.0
2014-01-17,10112.75,10274.92,10043.47,10175.29,10187.52,-0.12,2083050194.0
2014-01-20,10075.47,10122.7,10001.99,10040.16,10175.29,-1.328,2795653830.0
2014-01-21,10131.11,10266.68,10126.13,10218.41,10040.16,1.7754,2117276466.0
2014-01-22,10184.45,10359.72,10166.4,10325.46,10218.41,1.0476,2100042312.0
2014-01-23,10345.82,10362.4,10099.46,10109.49,10325.46,-2.0916,2233928084.0
2014-01-24,9988.0,10138.64,9984.17,10014.02,10109.49,-0.9444,2890333466.0
2014-01-27,9796.27,9850.54,9724.05,9792.58,10014.02,-2.2113,2829696707.0
2014-01-28,9833.57,9859.39,9740.47,9763.97,9792.58,-0.2922,2542170366.0
2014-01-29,9856.07,9956.17,9856.07,9898.02,9763.97,1.3729,2164981946.0
2014-01-30,9724.94,9821.83,9669.62,9818.36,9898.02,-0.8048,1375176547.0
2014-02-04,9540.85,9552.38,9478.31,9509.65,9818.36,-3.1442,2350720096.0
2014-02-05,9583.08,9592.83,9426.71,9470.62,9509.65,-0.4104,2039061646.0
2014-02-06,9498.38,9577.19,9489.99,9537.71,9470.62,0.7084,1714088757.0
2014-02-07,9602.51,9684.41,9556.73,9644.43,9537.71,1.1189,1665106561.0
2014-02-10,9638.69,9721.68,9598.64,9613.77,9644.43,-0.3179,1834425462.0
2014-02-11,9614.93,9912.54,9614.93,9848.12,9613.77,2.4376,2413879300.0
2014-02-12,9926.81,10029.89,9902.87,9996.76,9848.12,1.5093,2244082716.0
2014-02-13,9935.92,9951.44,9834.23,9872.71,9996.76,-1.2409,1602228716.0
2014-02-14,9983.01,9998.21,9903.5,9933.73,9872.71,0.6181,1930117989.0
2014-02-17,10042.93,10143.53,10042.93,10101.21,9933.73,1.686,1722200285.0
2014-02-18,10080.65,10080.65,9996.21,10057.83,10101.21,-0.4295,2939598350.0
2014-02-19,10023.37,10105.23,9964.81,10057.52,10057.83,-0.0031,1428688906.0
2014-02-20,10074.72,10197.09,9870.9,9978.06,10057.52,-0.7901,2667600704.0
2014-02-21,10101.82,10103.31,9893.22,9936.25,9978.06,-0.419,1893777420.0
2014-02-24,9910.89,9910.89,9687.45,9797.86,9936.25,-1.3928,2047591886.0
2014-02-25,9890.65,9893.76,9687.85,9738.08,9797.86,-0.6101,1620171034.0
2014-02-26,9695.98,9852.61,9657.73,9806.03,9738.08,0.6978,1931135984.0
2014-02-27,9795.23,9981.58,9756.67,9957.77,9806.03,1.5474,1907883372.0
2014-02-28,9982.76,10036.9,9819.16,9891.42,9957.77,-0.6663,2060232455.0
2014-03-03,9761.87,9882.77,9723.66,9751.65,9891.42,-1.413,1739961775.0
2014-03-04,9766.08,9848.44,9719.26,9776.77,9751.65,0.2576,1486017286.0
2014-03-05,9852.03,9852.03,9639.15,9663.56,9776.77,-1.1579,1855572404.0
2014-03-06,9650.02,9755.85,9633.64,9672.98,9663.56,0.0975,1944451654.0
2014-03-07,9696.57,9779.68,9670.01,9709.49,9672.98,0.3774,1718554263.0
2014-03-10,9580.19,9591.79,9498.36,9536.85,9709.49,-1.7781,1920738064.0
2014-03-11,9522.58,9588.82,9500.42,9530.91,9536.85,-0.0623,1460951755.0
2014-03-12,9394.16,9403.43,9303.94,9365.99,9530.91,-1.7304,2299237962.0
2014-03-13,9401.19,9531.98,9310.09,9330.85,9365.99,-0.3752,2020159017.0
2014-03-14,9246.28,9315.84,9207.64,9298.64,9330.85,-0.3452,2012609129.0
2014-03-17,9322.75,9358.96,9287.23,9333.03,9298.64,0.3698,1236332978.0
2014-03-18,9368.9,9384.61,9291.94,9342.28,9333.03,0.0991,1540935613.0
2014-03-19,9335.5,9381.93,9272.69,9360.7,9342.28,0.1972,1754359113.0
2014-03-20,9285.15,9363.61,9159.76,9203.07,9360.7,-1.684,2849873218.0
2014-03-21,9241.84,9462.2,9204.17,9427.33,9203.07,2.4368,2743199912.0
2014-03-24,9545.94,9730.49,9483.51,9694.96,9427.33,2.8389,2472863440.0
2014-03-25,9663.1,9779.37,9638.97,9690.86,9694.96,-0.0423,1565000697.0
2014-03-26,9794.38,9897.19,9790.24,9857.8,9690.86,1.7227,2350119532.0
2014-03-27,9881.58,9945.76,9770.13,9878.72,9857.8,0.2122,2482753452.0
2014-03-28,9927.37,10056.35,9927.37,10001.82,9878.72,1.2461,2299823499.0
2014-03-31,10095.71,10095.71,9975.89,10075.1,10001.82,0.7327,2034734797.0
2014-04-01,10121.01,10156.25,10036.31,10098.28,10075.1,0.2301,1800290319.0
2014-04-02,10121.53,10126.1,9985.72,10022.83,10098.28,-0.7472,2001957449.0
2014-04-03,10143.56,10169.97,10066.14,10088.89,10022.83,0.6591,1432058286.0
2014-04-04,10114.88,10177.95,10063.19,10110.01,10088.89,0.2093,1417025480.0
2014-04-07,10119.11,10192.47,10094.14,10156.89,10110.01,0.4637,1680623365.0
2014-04-08,10179.0,10358.05,10176.19,10319.32,10156.89,1.5992,2454498451.0
2014-04-09,10370.43,10443.27,10304.73,10380.74,10319.32,0.5952,2177029261.0
2014-04-10,10391.36,10591.05,10222.16,10421.31,10380.74,0.3908,3089855368.0
2014-04-11,10343.05,10357.38,10160.88,10236.51,10421.31,-1.7733,2214073057.0
2014-04-14,10220.92,10296.99,10165.26,10244.02,10236.51,0.0734,1352400035.0
2014-04-15,10243.09,10243.19,10015.66,10028.74,10244.02,-2.1015,1707401923.0
2014-04-16,10022.56,10126.09,9986.73,10035.96,10028.74,0.072,1204864651.0
2014-04-17,10108.48,10118.26,10016.85,10085.96,10035.96,0.4982,1132960827.0
2014-04-22,10010.73,10052.95,9952.0,10030.72,10085.96,-0.5477,1261429244.0
2014-04-23,10086.12,10086.12,9890.54,9905.63,10030.72,-1.2471,1500624962.0
2014-04-24,9955.33,9970.22,9885.21,9940.63,9905.63,0.3533,2028382470.0
2014-04-25,9910.1,9953.59,9785.11,9798.7,9940.63,-1.4278,1797014187.0
2014-04-28,9801.78,9848.21,9761.65,9770.1,9798.7,-0.2919,1118353114.0
2014-04-29,9826.47,9892.87,9699.46,9882.94,9770.1,1.155,1697121670.0
2014-04-30,9854.27,9856.26,9724.93,9779.72,9882.94,-1.0444,1592136585.0
2014-05-02,9757.09,9889.09,9757.09,9805.18,9779.72,0.2603,1053109735.0
